Census Tract,TotalPopulation,OwnedMortgage,OwnedFree,RenterOccupied
5638,"3,668","1,973",842,853
5639,"3,927","1,870",934,"1,123"
5640,"5,469","3,494","1,346",629
5641,882,655,201,26
5642,"2,224","1,160",695,369
5644,"5,620","2,912","1,490","1,218"
5645,"3,201","1,930",878,393
9800,540,125,13,402
9801,18,11,6,1
9803,1,1,0,0
9804,21,5,1,15
9805,27,15,9,3
9806,7,0,4,3
9807,19,0,3,16
9808,0,0,0,0
9809,0,0,0,0
9810,4,4,0,0
9811,7,3,0,4
9812,0,0,0,0
9818,60,10,12,38
9822,341,4,0,337
,"","","",""
